AcresTotal,Age,AgentIDX,AgentStatus,AnnualExpenses,AnnualGrossIncome,ApxLotSize,AssociationFee,AVMYN,BathsHalf,BathsTotal,Bedrooms,City,CommunityAmenities,CompassSuffix,CondoFeeIncludes,ConstAndFoundation,County,CrossStreetName,DateChange,Directions,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,EnergyFeatures,EquipAndAppliances,ExteriorFeatures,FloodPlainYNU,Floor,GarageAndParking,HeatAndCool,HighSchool,HOACOAYN,HomesteadYN,InteriorFeatures,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingOfficeID,ListingStatus,ListingType,ListPrice,LotDescription,LotDimensions,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,NetIncome,OccupancyDesc,OccupantName,OfficeIDX,OfficeStatus,OperatingExpenses,OwnerAgentYN,ParcelNumber,PhotoCount,PhotoModificationTimestamp,PoolPresent,PoolType,Possession,PostalCode,PropertySubType,PropertyType,PublicRemarks,RearExposureCode,Restrictions,RoadType,Roof,SewerAndWater,ShortSaleYN,Showing,SpecialInfo,SqFtTotal,StateOrProvince,StreetDirPrefix,StreetName,StreetNumber,Style,StyleOfHome,Subdivision,TaxAmount,TaxID,TaxRange,TaxSectionCode,TaxTownship,TaxYear,TermsAvailable,TotalUnits,Unit10Baths,Unit10Bedrooms,Unit10LeaseExpires,Unit10Parking,Unit10Rent,Unit10Sqft,Unit1Baths,Unit1Bedrooms,Unit1LeaseExpires,Unit1MonthlyRent,Unit1Parking,Unit1SqFt,Unit2Baths,Unit2Bedrooms,Unit2LeaseExpires,Unit2Parking,Unit2Rent,Unit2SqFt,Unit3Baths,Unit3Bedrooms,Unit3LeaseExpires,Unit3Parking,Unit3Rent,Unit3SqFt,Unit4Baths,Unit4Bedrooms,Unit4LeaseExpires,Unit4Parking,Unit4Rent,Unit4SqFt,Unit5Baths,Unit5Bedrooms,Unit5LeaseExpires,Unit5Parking,Unit5Rent,Unit5SqFt,Unit6Baths,Unit6Bedrooms,Unit6LeaseExpires,Unit6Parking,Unit6Rent,Unit6SqFt,Unit7Baths,Unit7Bedrooms,Unit7LeaseExpires,Unit7Parking,Unit7Rent,Unit7SqFt,Unit8Baths,Unit8Bedrooms,Unit8LeaseExpires,Unit8Parking,Unit8Rent,Unit8SqFt,Unit9Baths,Unit9Bedrooms,Unit9LeaseExpires,Unit9Parking,Unit9Rent,Unit9Sqft,UnitNum1,UnitNum10,UnitNum2,UnitNum3,UnitNum4,UnitNum5,UnitNum6,UnitNum7,UnitNum8,UnitNum9,UnitNumber,VarDualRateCommYN,VirtualTourURL,VOWAVMYN,VOWCommentsYN,WaterFrontage,WaterFrontPresent,WaterType,YearBuilt,Zoning
0,,Yes,"- Active",,,,,No,,,,Inverness,"Golf Course",,,"Concrete Blk/Stucco",,Windmill,2013-04-09,"Hwy 41 to entrance Lakeside Golf & County Club.  Rt. on N.Vermeer Way.",Yes,Yes,,,"Other See Remarks",,Unverified,"Other See Remarks","Assigned Parking","Cool - None",,No,No,,,"Lakeside Town Homes II A Condo",No,275506102063,27550610,2010-10-24,2063,,01,2755,061,345435,0,Active,"Excl. Right to Sell",280000,Flat,,,2013-04-09T13:58:03,,,Vacant,,Yes,"- Active",,No,330794,5,2013-01-30T14:54:34,No,,"At Close",34453,,Multi-Residential,"INVESTMENT OPPORTUNITY .. Scope of Project:  Lakeside Eaglepoint Inc has started up the development of 14 additional townhomes in 2007.  The scope of the sale to a new developer is:  1. The finishing and sales of the 6-plex. This 6-plex has been blt up to the stage that the homes are air- and waterproof and the exterior of the homes is finished.  2. The finishing and sale of 2 4-plexes. These have been blt up to the stage that the slabs are poured and the infrastructure is in place (water, electricity, sewer, phone, internet and television).",E,"Other See Remarks",,"Asphalt/Fiberglass Shgl","Sewer - None,Water - Needs Well",No,"Call List Agent,Go There",,1360,FL,N,"Vermeer Way",0,"2+ Story",,"Connell Lake Estates",329.14,,19,36,18,2010,"Cash,Conventional",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,No,,No,,2010,
1.04,,Yes,"- Active",,,"115x132 each",,No,,,,"Crystal River","Laundry - In Unit",,,"Concrete Blk/Stucco",,,2013-02-16,"Hwy 19 N. to right on Citrus Ave. Left on Crystal Street to Duplex on right. No sign",Yes,Yes,,,"Oven - Range,Refrigerator","Courtyard,Entry - Ground Level,Landscape - Partial,Patio - Enclosed",Yes,"Carpet,Ceramic Tile,Vinyl","Assigned Parking","Cool - Central Electric,Heat - Central Electirc",,No,No,"Ceiling - Standard,Counters - Laminate,Eat-In Kitchen,Great Room",,"Brewers Add to Crystal River. 3 duplexs See Alt Key# 1073341,1073324,1073332",No,27552790502,27552790,2011-12-07,502,,19,2755,279,352678,0,Active,"Excl. Right to Sell",249900,Acreage,"115x132 each",,2013-05-01T20:40:37,,,Tenant,,Yes,"- Active",,No,1073341,15,2013-01-21T20:34:45,No,,"At Close",34429,,Multi-Residential,"Centrally located duplexes - 3 all together. The roof on units 1&2 was replaced in 2012. The roofs on units 3&4 and 5&6 were replaced after the ""No Name Storm"". Unit 4 has an updated kitchen, living room, hallway and bathroom. Unit 2 has a new bathroom. Several of the units have new tile and lanais, new paint, and new carpeting in bedrooms. All come with private utility rooms for washer and dryer, screened area, 1.5 bathrooms and well maintained. Good rental history. Must see!",,"No Restrictions",,"Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Appointment Only,Call List Agent",,1904,FL,NW,"Crystal St",115,Duplex,,,4506.18,,,,,2011,"Cash,Conventional",3,,,,,,,1.5,2,,575,Yes,750,1.5,2,,Yes,600,750,1.5,2,,Yes,575,750,1.5,2,,Yes,575,750,1.5,2,,Yes,575,750,1.5,2,,Yes,575,750,,,,,,,,,,,,,,,,,,,1,,2,3,4,5,6,,,,,No,,No,No,,No,,1974,
.41,,Yes,"- Active",,,"100 x 180",0,No,,,,Inverness,,,,"Concrete Blk/Stucco,Frame/Stucco,Foundation - Slab",,,2012-08-27,"HWY 44 , TURN ON PLEASANT GROVE RD ( 581)  ON LEFT SIDE.",Yes,Yes,,,"Cable,Oven - Range,Range Hood,Refrigerator,Smoke Detector(s),Water Heater","Landscape - Partial",No,"Carpet,Ceramic Tile","Drive - Concrete,Drive - Paved,Unassigned","Cool - Central Air,Heat - Central Electirc",,No,No,"Ceiling - Standard,Fireplace - None",,"INVERNESS HTS REV PB 4 PG 58 LOT 4 BLK G",No,27550470394,27550470,2012-08-15,394,,07,2755,047,357115,0,Active,"Exclusive Agency",349900,Non-Waterfront,"100 x 180",Inverness,2013-02-07T14:32:45,0,,Tenant,,Yes,"- Active",,No,2552719,4,2012-08-20T18:56:15,No,None,"At Close",34451,,Multi-Residential,"MULTI FAMILY ON PLEASANT GROVE RD. ALWAYS FULL. VERY GOOD INVESTMENT. BY APPOINTMENT ONLY. CALL LISTING AGENT. 24 HOURS NOTICE. BEING SOLD AS IS.Each apt has own water meter.",N,,County,"Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"24 Hour Notice,Appointment Only,Call List Agent,Call List Office","Seller Prop Disclosure,Sold As Is,Title Insurance,Warranty - None",3168,FL,,"Pleasant Grove",312,"2+ Story,Quad",,"Inverness Heights",2633,,20,18,19,2011,"Cash,Conventional",4,,,,,,,1,2,,500,,760,1,2,,,500,760,1,2,,,500,760,1,2,,,500,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,No,,No,,1974,
12,,Yes,"- Active",,48000,"11 Acres",,No,,,,Inverness,"Laundry - In Bldg",E,,Manuf/Modular,,"581 Pleasant Grove rd",2013-01-10,"Hywy 44 turn south at Applebees(581)-see Hunts Ct on left (no Sign). See other acreage on Stevenson.***DO NOT DISTURB TENANTS***",Yes,Yes,,,"Other See Remarks","Fence - Partial,Outdoor Lighting,Pasture,Workshop",No,"Other See Remarks","Boat Parking,Storage,Truck Parking,Workshop","Cool - Central Air,Cool - Wall/Window,Heat - Central Electirc,Heat - Wall/Window",,No,No,,,"LONG legal; Metes and Bounds 2A000-0220",No,27550860801,27550860,2012-12-12,801,,08,2755,086,359656,0,Active,"Excl. Right to Sell",325000,"2+ Lots,Acreage,Pasture","11 Acres",,2013-02-25T16:10:41,,46200,Tenant,,Yes,"- Active",1800,No,1841372,18,2012-12-21T19:41:51,No,,"At Close,Negotiable",34450,,Multi-Residential,"GREAT income! This 8 unit mobile home park is Grandfathered in on 12-acres. The income on this park is around $4,000.mo/$48,000.yr. There are Four acres on Pleasant Grove hywy(aka 581)and 8 acres facing Stevenson with possible future development potential? Updates include: 6-C/H air systems/5-200 AMP service/1-storage shed per unit/One-Central water system w/a NEWER Well pump/5 septic systems/POLE Barn-work shop/low over-head expenses. All homes are well taken care of.  Many long term tenants. All month to month leases. Great location as it is close to shopping,hospital and schools. Pretty land with a country feel. OWNER WILL CONSIDER Financing-or-TRADE?",,"Other See Remarks",Private,"Other See Remarks","Sewer - Septic Private,Water - Private Well",No,"Call List Agent","Brighthouse Cable,Progress Energy",0,FL,,"HUNTS COURT",4915,"Mobile Homes",,,3500,,,,,2012,"Cash,Conventional,Exchange Considered,Owner Finance",8,,,,,,,2,3,,450,,,1,2,,,450,,1,2,,,450,,1,2,,,450,,1,2,,,450,,2,2,,,450,,1,2,,,450,,2,3,,,450,,,,,,,,1,,2,3,4,5,6,7,8,,,No,,No,No,,No,,1973,
0,,Yes,"- Active",,,,0,No,,,,Inverness,"Bike Path,Clubhouse,Golf Course",,"Bldg. Maintenance,Grounds Maintenance,Public Insurance,Reserve Fund,Road Maintenance,Trash Removal","Concrete Blk/Stucco",,"S. Florida Ave.",2013-04-09,"Hwy 41 north to right on Windmill (entrance to Lakeside Country Club) to condos on right.",Yes,Yes,,,"Cooktop - Gas Range,Dishwasher,Oven - Gas,Refrigerator,Stack Washer/Dryer","Balcony,Door - Sliding Glass,Outdoor Lighting,Patio - Covered",Unverified,"Carpet,Ceramic Tile","Parking Spaces","Cool - Central Electric,Heat - Central Electirc",,Yes,No,"Ceiling - Standard,Ceiling - Vaulted,Counters - Stone,Inside Laundry,Kitchen/Bath Updated,Lanai,Open Floor Plan,Split Floor Plan,Walk-In Closet(s)",,"Lakeside of Inverness a Condominium",No,275506102063,27550610,2013-01-28,2063,,01,2755,061,700654,0,Active,"Excl. Right to Sell",280000,"Zero Lot Line",,,2013-04-09T13:58:22,171,,Vacant,,Yes,"- Active",,No,3315768,9,2013-01-30T15:45:41,No,None,"At Close",34453,,Multi-Residential,"4 unit condo building in the beautiful Lakeside Golf and Country Club next to the Rails to Trails bike path. All condos are 3 bedroom, 2 bath with indoor laundry room, granite counters, tiled kitchen and baths and large covered lanai.",S,"No RVs,Pet Restrictions,Other See Remarks","County,Paved","Asphalt/Fiberglass Shgl","Sewer - Septic Community,Water - Public",No,"Appointment Only,Call List Office","Brighthouse Cable,Golf Community,HOA Disclosure,Sumter Electric",6064,FL,E,Windmill,4450,"2+ Story,Quad",,"Connell Lake Estates",1450,,,,,2012,"Cash,Conventional",4,,,,,,,2,3,2013-05-31,750,No,1260,2,3,2013-06-30,No,750,1260,2,3,2013-09-30,No,750,1260,2,3,2013-12-31,No,800,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,206,107,207,,,,,,,No,,No,No,,No,,2005,
.51,,Yes,"- Active",,,150X150,0,No,,,,"Crystal River","Near Shopping",,,"Concrete Block,Concrete Blk/Stucco,Foundation - Slab",,"NE 10TH STREET",2013-04-10,"FROM HWY 19, CRYSTAL RIVER, GO EAST ON HWY 44 ABOUT 5 BLKS, (L) ON 8TH AVE LFT SIDE",Yes,Yes,,,"Cable,Ceiling Fan(s),Cooktop - Elec,Oven - Range,Range Hood,Refrigerator,Smoke Detector(s),Water Heater","Entry - Ground Level,Fence - Partial,Fenced Yard,Landscape - Full,Outdoor Lighting,Sep. Entrance Apt.",Yes,"Carpet,Ceramic Tile","Drive - Concrete,Drive - Paved,Parking Spaces","Cool - Central Air,Cool - Central Electric,Heat - Central Electirc",,No,No,"Blinds,Ceiling - Standard,Counters - Laminate,Inside Laundry,Kitchen/Bath Updated,Living Room,Open Floor Plan,Window Treatment(s)",,"ALBRITTONS ADD TO CRYSTAL RIVER, BLK-2, LOTS 1, 2 & 3(AK=1058201)",No,27551780428,27551780,2012-11-19,428,,16,2755,178,359088,0,Active,"Excl. Right to Sell",235000,"2+ Lots,Flat,Non-Waterfront,Rectangle",150X150,"Crystal River",2013-04-13T18:58:47,0,,Tenant,TENANTS,Yes,"- Active",,No,1058201,22,2013-04-13T18:58:47,No,None,"At Close,Subject to Lease",34429,,Multi-Residential,"9 TOTAL APTS ON NE 8TH AVE, DOWNTOWN CRYSTAL RIVER, 956 NE 8TH AVE(AK=1058201)-9 APTS DIRECTLY ACROSS FROM CRYSTAL RIVER HIGH SCH,  CENTRAL WATER & SEWER; CITY LIMITS OF CRYSTAL RIVER; ALL APTS =2 BDRMS, 1 BATH W/WASHER & DRYER HOOK UPS;CENTRAL AIR CONDITIONINGPOTENTIAL CAP RATE OF 16% WHEN FULLY OCCUPIED; CARPETED & TILE FLOORS; POSSIBLE OWNER FINANCING WITH LARGE DOWN PAYMENT.CENTRAL A/C CHANGED 201=APT#1, 2011=APT#3, 2012=APT#8; APT#5=NEWER IN 2007; ROOF=NEWER IN 2007",W,"Other See Remarks","County,Paved","Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Appointment Only,Key in Office","Brighthouse Cable,High Speed Internet,Progress Energy,Sold As Is",6388,FL,NE,"8TH AVE",956,"Apt. Building",,"Allbrittons Add to C/R",4791.27,,,,,2012,"Cash,Conventional,Owner Finance",9,,,,,,,1,2,,,,710,1,2,,,,710,1,2,,,,710,1,2,,,400,710,1,2,,,500,710,1,2,,,,710,1,2,,,,710,1,2,,,,710,1,2,,,400,710,1,,2,3,4,5,6,7,8,9,,No,,No,No,,No,,1986,
.41,,Yes,"- Active",,,"100 X 180",0,,,,,Inverness,"Laundry - In Bldg,Near Shopping",,,"Concrete Blk/Stucco,Frame/Stucco",,44,2013-03-06,"From 44 in Inverness take right at Applebees on Pleasant Grove Road. Home is on the left",Yes,Yes,,,"Oven - Range,Refrigerator,Water Heater","Landscape - Partial",Unverified,"Carpet,Ceramic Tile,Laminate","Assigned Parking","Cool - Central Air,Heat - Central Electirc",,No,No,"Ceiling - Standard,Counters - Laminate",,"INVERNESS HGTS REVISED PB 4 PG 58 LOT 8 BLK G",No,2755102502043,275510250,2013-01-24,2043,,07,2755,1025,700512,0,Active,"Excl. Right to Sell",149900,"Flat,Rectangle","100 X 180",,2013-03-06T14:47:40,0,,Tenant,,Yes,"- Active",,Yes,1761484,11,2013-02-12T11:59:03,No,,"At Close",34452,,Multi-Residential,"Great Investment opportunity or owner occupied, qualifies for FHA. Nice 4 family with 2 bedrooms in each unit. Close to Hospitals and shopping, Coin-op Laundry on site. Off street parking for 8 cars.  Call Today",,"Pet Restrictions",County,"Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Call List Agent,Lister Accompany,Vacant","Lead Paint Disclosure,Warranty - None",3152,FL,,"Pleasant Grove Rd",228,"2+ Story",,,2082.91,,20,18,19,2011,"Cash,Conventional,FHA,VA",4,,,,,,,1,2,,500,,788,1,2,,,500,788,1,2,,,500,788,1,2,,,,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,,,,,,,,Yes,,No,No,,No,,1974,
.5,,Yes,"- Active",,,109x200,,No,,,,Inverness,"Near Shopping",,,"Concrete Blk/Stucco",,,2013-04-29,"44 TO CRYSTAL BLVD (ACROSS FROM INDEPENDANCE) TO RIGHT ON COUNTRYSIDE TO RIGHT ON LADERA TO LEFT ON THERESA SEE SIGN....",Yes,Yes,,,"Ceiling Fan(s),Cooktop - Elec,Refrigerator","Entry - Ground Level,Fence - Partial,Lanai,Landscape - Partial,Porch - Screened,Shed/Utility Bldg",No,"Carpet,Ceramic Tile","1 Car Attached Garage,Drive - Blacktop,Drive - Circular","Cool - Central Air,Heat - Heat Pump",,No,No,"Blinds,Ceiling - Cathedral,Counters - Laminate,Handicap Modified",,"HILLS COUNTRYSIDE EST  LOT 21 BLK A",No,27550860771,27550860,2013-02-18,771,,08,2755,086,701120,0,Active,"Excl. Right to Sell",150000,Rectangle,109x200,,2013-04-30T19:09:37,,,Vacant,,Yes,"- Active",,No,1963630,21,2013-04-30T19:09:37,Yes,"Heated,In Ground","At Close",34452,,Multi-Residential,"TRUE 3 BEDROOMS 2 BATHS WITH 1 CAR GARAGE FOR EACH UNIT AND AN INGROUND HEATED POOL FOR BOTH UNITS USE OR CAN BE DIVIDED TO ONLY ONE UNIT. ROOF UNDER 5 YEARS OLD,HEAT AND AIR UNDER 5 YEARS AND POOL RESURFACED IN LAST 2 YEARS. BOTH UNITS HAVE SCREENED PORCHES AND ARE IN GREAT CONDITION. BOTH SIDES VACANT WITH LOCKBOX.",,"No Restrictions","County,Paved","Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Private Well",No,"Call List Agent,Lockbox",,3586,FL,,"Theresa Lane",3501,Duplex,,"Hills Countryside Est.",2205,,,,,2012,"Cash,Conventional",2,,,,,,,2,3,,,Yes,1118,2,3,,Yes,,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,No,,No,No,,No,,1984,
.39,,Yes,"- Active",,,"95 X 180 (.39)",,No,,,,Inverness,"Laundry - In Bldg,Near Shopping",,,"Concrete Block,Frame/Stucco",,"Gulf to Lake Highway",,"From 44 in Inverness take right at Applebees on Pleasant Grove Road. Home is on the left",Yes,Yes,,,"Cooktop - Elec,Refrigerator,Water Heater",,Unverified,"Carpet,Ceramic Tile","Assigned Parking,Drive - Concrete","Cool - Central Air,Heat - Heat Pump",,No,No,"Ceiling - Standard,Eat-In Kitchen,Living Room,Open Floor Plan",,"INVERNESS HTS REV PB 4 PG 58 LOT 9 BLK G",No,2755102502043,275510250,2013-01-24,2043,,07,2755,1025,700606,0,Active,"Excl. Right to Sell",170000,"Mixed Topography","95 X 180 (.39)",,2013-02-12T12:00:10,,,Tenant,,Yes,"- Active",,Yes,1761492,4,2013-02-12T12:00:10,No,,"At Close",34452,,Multi-Residential,"Great Investment opportunity. Nice 4 family with 2 bedrooms in each unit.Close to Hospitals and shopping, Coin-op Laundry on site. Off street parking for 8 cars. Call Today",,"Pet Restrictions","County,Paved","Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"No Sign","Brighthouse Cable",3460,FL,,"Pleasant Grove",224,"2+ Story",,,2550,,,,,2011,"Cash,Conventional,FHA,VA",4,,,,,,,1,2,,0,,788,1,2,,,475,788,1,2,,,475,788,1,2,,,475,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,4,,,,,,,Yes,,Yes,Yes,,No,,1980,
1.25,,Yes,"- Active",,,"181 X 300",,No,,,,Hernando,None,,,"Frame,Manuf/Modular",,,,"Hwy 41 North to Left on Dearborn Dr. to Right on Highland Park Dr. to Left on E. Wacker St. to Right on N. Irving Park Dr. Property on Right.",Yes,Yes,,,"Oven - Gas,Oven - Range,Refrigerator","Fence - Partial,Shed/Utility Bldg,Trees",Unverified,"Carpet,Laminate,Vinyl","Drive - Unpaved","Cool - Central Electric",,No,No,"Bonus Room,Ceiling - Standard,Counters - Laminate,Eat-In Kitchen,Living Room",,"FOREST LAKE NORTH PB 8 PG 101 LOT 178",No,275555103492,27555510,2013-05-30,3492,,08,2755,551,703432,0,Active,"Excl. Right to Sell",45000,"2+ Lots,Corner Lot,Room for Pool","181 X 300",,2013-06-10T21:27:49,,,Vacant,,Yes,"- Active",,No,1607701,19,2013-06-10T21:27:49,No,,"At Close,Subject to Lease",34442,,Multi-Residential,"Looking for an affordable investment property or family home with guest house? This one could work either way. One mobile consists of 5 bedrooms and 2 baths, spacious living room, open kitchen, wrap around deck, shed and fenced back yard! Mobile 2 features 2 bedrooms, 2 baths, and a 12 x 12 deck. Both mobiles utilize shared well.",,"No Restrictions",Paved,Metal,"Sewer - Septic Private,Water - Private Well",No,"24 Hour Notice,Appointment Only,Lockbox Call,Pets",,2954,FL,N,"Irving Park Ave.",5515,"Mobile Homes",,"Forest Lake North",1081.31,,,,,2012,Cash,2,,,,,,,2,5,,850,,1808,2,2,,,525,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5515,,1070,,,,,,,,,No,,No,No,,No,,1984,
